FechaExtraccion,Año,PC,Cat,TipDia,ValMop,Hinicio,Hfin,Tarifa_Inf,Tarifa_Inicial,Tarifa_Periodo,Conces,Sentido
2023-11-06T16:16:37.76Z,2016,P3,3,0001,1021.02,083000,095959,,,TBP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,4,0001,340.34,083000,095959,,,TBP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,1,0001,177.32,100000,115959,,,TBFP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,2,0001,354.64,100000,115959,,,TBFP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,3,0001,531.96,100000,115959,,,TBFP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,4,0001,177.32,100000,115959,,,TBFP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,1,0001,340.34,120000,125959,,,TBP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,2,0001,680.68,120000,125959,,,TBP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,3,0001,1021.02,120000,125959,,,TBP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,4,0001,340.34,120000,125959,,,TBP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,1,0001,517.66,130000,135959,,,TS,CN,S
2023-11-06T16:16:37.76Z,2016,P3,2,0001,1035.32,130000,135959,,,TS,CN,S
2023-11-06T16:16:37.76Z,2016,P3,3,0001,1552.98,130000,135959,,,TS,CN,S
2023-11-06T16:16:37.76Z,2016,P3,4,0001,517.66,130000,135959,,,TS,CN,S
2023-11-06T16:16:37.76Z,2016,P3,1,0001,340.34,140000,145959,,,TBP,CN,S
2023-11-06T16:16:37.76Z,2018,0016,4,0001,314.3,193000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,1,0002,314.3,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,2,0002,628.6,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,3,0002,942.9,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,4,0002,314.3,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,1,0003,314.3,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,2,0003,628.6,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,3,0003,942.9,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,4,0003,314.3,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,1,0004,314.3,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,2,0004,628.6,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,3,0004,942.9,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0016,4,0004,314.3,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0001,229.18,000000,072959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0001,458.35,000000,072959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,3,0001,687.53,000000,072959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,4,0001,229.18,000000,072959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0001,458.35,073000,092959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0001,916.71,073000,092959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,3,0001,1375.06,073000,092959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,4,0001,458.35,073000,092959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0001,229.18,093000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0001,458.35,093000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,3,0001,687.53,093000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,4,0001,229.18,093000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0002,229.18,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0002,458.35,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,3,0002,687.53,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,4,0002,229.18,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0002,458.35,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0002,916.71,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,3,0002,1375.06,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,4,0002,458.35,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0002,229.18,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0002,458.35,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,3,0002,687.53,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,4,0002,229.18,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0004,229.18,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0004,458.35,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,3,0004,687.53,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,4,0004,229.18,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0004,458.35,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0004,916.71,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,3,0004,1375.06,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,4,0004,458.35,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0004,229.18,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0004,458.35,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,3,0004,687.53,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,4,0004,229.18,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,1,0003,229.18,000000,185959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0003,2,0003,458.35,000000,185959,,TBFP,TBFP,AVN,O
